,A,AB,B,C,D,E,F,G,GH,H
16.0,13156304,26449036,14480100,8930500,8849279,9116875,9269500,13531050,26449036,13463891
34.0,14532637,29131310,15396750,9770500,9898537,9671181,10429000,14921550,29131310,14167335
53.0,15731072,31496748,16692750,10405000,10545395,10361297,11177500,15722775,31496748,15439781
