,B,C,D,F,G,H,I,J,K,L,M,N,O,P,Q
2.0,453,375,434,467,450,313,312,470,463,311,320,473,470,375,360
3.0,453,375,434,467,450,313,312,470,463,311,320,473,470,375,360
4.0,453,375,434,467,450,313,312,470,463,311,320,473,470,375,360
