,15,16,17,19,22,25,28,3,31,4,45,46,47,52
7.0,349,349,355,355,349,355,365,349,349,349,366,366,366,355
12.0,349,349,355,355,349,355,365,349,349,349,366,366,366,355
19.0,349,349,355,355,349,355,365,349,349,349,366,366,366,355
