,A,B,BC,C,D,E,F,G,H
7.0,16876,14672,,14433,16922,15656,15434,15287,16960
16.0,18025,15714,,15518,17311,16810,16538,16388,18079
24.0,19065,16624,,16217,18821,17856,16653,16600,19107
