,A,B,C,D,E,F,G,I,J,K,L
2.0,200,325,315,315,300,215,390,280,275,290,335
3.0,200,325,315,315,300,215,390,280,275,290,335
4.0,200,325,315,315,300,215,390,280,275,290,335
