,1,2,3,4,5,6,7,8,whole floor
4.0,9395,9420,9420,10337,12132,9961,9404,12658,9420
8.0,9648,9673,12586,10648,12451,10121,12376,12959,9673
12.0,9929,12746,9926,10953,12768,10379,12652,13486,9926
