,1,10,104,11,14,2,211,3,303,4,5,511,6,6A,7,8,9
3.0,3032379,2598710,2854748,2598000,2798730,2854748,2598000,2854748,2854748,2913560,3629560,2598000,4279240,2227803,3263022,2881230,3767680
6.0,3085439,2647936,2908828,2647200,2851860,2908828,2647200,2908828,2908828,2968992,3704592,2647200,4360160,2270133,3324867,2940630,3839136
8.0,3120686,2680552,2944994,2679900,2887170,2944994,2679900,2944994,2944994,3005496,3750696,2679900,4414305,2298270,3365964,2999040,3886464
