,A,B,C,D,E,F,G,H,J,K,L,M
7.0,4256590,4192650,3919968,4778496,5029056,4022352,5188750,5045406,4123872,4894272,5024448,4104930
19.0,4438708,4328478,4050864,5053824,5265216,4147632,5372580,5264268,4257792,5148864,5247360,4304339
30.0,4533830,4506810,4239216,5146560,5220288,4286304,5406381,5299008,4414176,5250240,5301504,4473860
