,2,3,5,C1,C2,C3,C3B,C4,C5
4.0,15703317,10340196,6986836,14945780,16686370,10002066,5715491,8281584,5461368
9.0,16274286,10779195,7265446,15485784,17291862,10389557,6123217,8604108,7293056
14.0,16854159,11191086,7557108,11899316,12705228,10787226,6370611,8894196,7588734
