,14,7,C16,C3,C5,C7,C8,C9
6.0,1610,1592,1592,1592,1610,1592,1592,1592
10.0,1610,1592,1592,1592,1610,1592,1592,1592
14.0,1610,1592,1592,1592,1610,1592,1592,1592
