,1,11,12B,13B,14,15,17,18,19,21A,21B,22,24,3,4B,7,8,9
9.0,6189,6356,5801,5866,6333,6282,6161,6282,6282,6275,5928,6282,5821,6282,5866,6282,6185,6185
19.0,6663,6717,6072,6138,6672,6631,6499,6631,6631,6557,6203,6631,6096,6631,7657,6631,6526,6526
30.0,7100,7167,6380,6446,7086,7069,6919,7069,7069,6881,6513,7069,6354,7069,6446,7069,6831,6957
