,A,B,C,D,E,F,G,H
7.0,8170888,9042494,7613416,7448618,9436885,7793400,6116540,6167077
17.0,8259702,9386493,7856030,7606830,9926700,7927320,6191043,6480198
27.0,8385950,9652497,7986860,7834848,10242920,8447376,6365057,6650044
