,2C,2E,3E,4A,4C,4F,5D,5E,6C,6D,6F,7B,7C,7F,8C,8E,8F
2.0,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,,
