,A,B,C,D,E,F,G,H,J,K
3.0,12277340,10125680,8426280,8312760,8389515,8450790,10477240,10125680,7018896,8725920
6.0,12439020,10290180,8539800,8423700,8502390,8563665,10532700,10290180,7546560,8842848
10.0,12182400,10497920,8306310,8192145,8221815,8148930,10718820,10497920,7314000,7799232
