,A,B,C,D,E,F,G
2.0,4177790,3811340,4690048,4716696,4355313,4187808,5145380
4.0,4218500,3848780,4735808,4178178,4397823,4228656,5195560
6.0,4808736,3885960,5232150,4218627,4440333,4269504,5245740
