,AW03,BW02,BW04,BW06,BW07,CW01,CW06,CW08
10.0,1527810,1525143,1535049,1551432,1941870,1519428,1544193,1913450
20.0,1590675,1587627,1597533,1610106,2006550,1582293,1610106,1908060
29.0,1663827,1658874,1668780,1709166,2071720,1653540,1673733,2019780
