,A,B,C,CD,D,E,F,G,H
4.0,10090080,6829455,9134130,12492060,7984200,9516948,5966950,5746224,4906792
8.0,10452120,7307723,9380340,12910890,8276800,9846588,6166050,5945280,5067480
14.0,10783920,7681738,9990092,13538528,8712900,10320948,6468550,8215724,5317224
