,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
2.0,,,,,,,,8023,,,,,,,
3.0,,,,,,,,,,,,,,,
4.0,,,,,,6810,,,,,,,,,
