,A,B,C,D,E,F,G,H,J,K,L,M
9.0,372,222,217,232,232,220,227,332,310,320,320,310
16.0,372,222,217,232,232,220,227,332,310,320,320,310
21.0,372,222,217,232,232,220,227,332,310,320,320,310
