,A,B,C,D,F,G,H,I,J
2.0,8756,8952,8839,8860,9144,9141,10231,9419,8336
5.0,8934,9167,9016,9036,9299,9326,9508,9472,8494
8.0,9103,9310,9190,9211,9505,9504,9689,9657,8657
