,A1,A3,A4,B1,B2,B3
3.0,7429620,6619800,4220100,6227100,6533660,5483910
6.0,7624320,6789600,4328100,6386940,6701810,5624890
8.0,7820340,6903000,4400550,6493500,6813320,5718700
