,B,B1,C,C2,D,E,F
5.0,9721872,9348108,9721872,8500352,9721872,8264400,9265410
11.0,10282864,9887592,10282864,8991528,10282864,8741520,9800490
17.0,10845348,10428550,10845348,9482704,10845348,9218640,10337040
