,A,B,C,D,E,F,G,H
6.0,7749824,6191696,6131752,5669550,5856600,6252322,6431732,7142179
18.0,8384468,6608000,6515488,6164050,6131370,6451304,6930352,8542840
28.0,9029516,7072920,7043184,6576420,6509340,6964836,6970428,9149740
