,A,B,C,D,E,F,G,GH,H
5.0,13181,12998,13901,13106,12845,14041,13315,10278,13181
14.0,14035,13863,14286,13763,13591,15170,14196,10949,14035
23.0,14884,14722,14839,14595,14413,15602,15097,11619,14884
