,A,B,D,E,F,G,H,J,K
4.0,7196352,7174448,7262656,4922882,5601816,7195168,7196352,5641988,4922882
10.0,7352048,7328960,7417760,5030201,5725236,7350272,7352048,5763472,5030201
17.0,7530832,7506560,7597728,5150019,5861724,7529056,7530832,5900928,5150019
