,1,2,3,4,5,6,7,8,9
5.0,3915375,3899735,3463110,3463110,3463110,3463110,3649490,4009875,3433815
8.0,3992625,3978125,3531780,3531780,3531780,3531780,3721850,4089375,3501225
11.0,4069875,4048475,3600450,3600450,3600450,3600450,3793875,4168875,3569580
