,A,B,C,D,D2,E,F,G,H,I,J,J1,J2,K,L,M,N,O,P,Q,R,S,T,U,V
4.0,15004636,14339178,14339178,11687346,8042400,14339178,12883514,12094380,14000622,13178126,12720573,,,14173113,12019372,11982600,10716456,11237450,13612917,12618950,11389376,12514254,11156448,12808462,12175920
6.0,14397752,13338726,13379936,11670462,8151840,12920286,14016472,12418380,13164376,13029822,12853485,,,13798801,12884782,14022812,9484800,10794160,14633600,12353875,11533450,13930295,11292490,13768039,12418380
9.0,11046102,9238404,10184960,12030453,8316720,8530340,9080572,10433880,8503744,10967992,13057326,,,8566784,12021660,12578978,11806500,10979518,14743000,14448600,9805064,13151239,11212672,13753296,12416760
