,A,A & B,AB,B,C,D,E,F,G,G&H,H,I,I&J,J,K,K & L,L,M,N,O,O & P,P,Q,R,S,T,U
3.0,229,473,473,244,244,244,244,244,198,488,244,244,488,244,244,488,244,183,224,199,398,199,199,199,224,199,199
7.0,229,473,473,244,244,244,244,244,244,488,244,244,488,244,244,488,244,183,224,199,398,199,199,199,224,199,199
11.0,199,473,473,275,275,198,275,275,275,488,198,275,488,275,198,488,198,199,224,199,398,199,199,196,224,199,199
