,4,5-7,A,B,C,D,E,F,G,H,I,J,K,L,M,N
4.0,780,,560,465,495,492,487,495,465,485,500,430,430,430,430,500
10.0,780,,560,465,495,487,487,495,465,485,500,430,430,430,430,500
15.0,780,,560,465,495,479,487,495,465,485,500,430,430,430,430,500
