,A,AB,AD,AF,B,C,D,E,F
9.0,7970576,13175630,10919484,11599245,6755140,6866361,4390242,5819040,6082615
24.0,11473514,14447914,13406562,12703590,7478870,5253336,6791574,5684569,6435891
38.0,12417887,15636348,12954366,13758255,8259440,,7687778,7129826,7076102
