,A,B,C,D,E,F,G,H,whole floor
7.0,14873,14968,15607,14011,14652,15116,15031,14896,15047
14.0,15603,16326,15712,14474,15306,15719,15927,15411,15583
20.0,15755,15995,16121,14448,15711,16034,16374,16138,15995
