,A2,B,B1,C,E,G,H,I,J,L
5.0,5034,7012,7010,7012,7035,7031,7090,6824,7024,6803
6.0,5055,7036,7120,7036,7060,7055,7112,6808,7047,6825
7.0,5077,7066,7150,7066,7089,7085,7142,6875,7077,6854
