,1,2,3,4,5,6,B3,B4,B6,D2,D3,D4,D5,D6,F2,F3,H6,J1,J2,J3,J4,J6
4.0,8459710,7220340,5080015,5001580,7710660,8459710,5099935,5656450,8334760,8121600,5323205,5101595,6454080,7495215,7834860,5172560,8459710,8241940,7749540,5059265,5245600,8399615
8.0,8392680,7907760,5794645,5648150,8181000,8761375,5794645,5863535,8860145,8363520,5882210,5736545,6885540,7956935,8108640,5663920,8761375,8526945,8158320,5368025,5774725,8697710
12.0,9028530,8174520,5984300,5834900,8449380,9028530,5985960,6041985,7929990,8684280,5945705,5926615,7114500,7928375,8394840,5846520,9028530,9068395,8426160,5555190,5964380,8967245
