,1,2,3,4,5,6,7,8,9
7.0,9077,8614,9055,8346,8490,9055,8668,9123,8677
18.0,9244,8485,9409,8610,8660,9409,8916,9387,8857
29.0,9516,8628,9675,8740,8769,9675,9142,9467,9102
