,A,B,C,D,E,F,G,H,I,J,K,L
4.0,9468000,10469660,8549715,8473167,9581166,9019065,7414368,6880640,8548157,8548157,6371456,7022484
10.0,9831836,10960980,9789918,10505280,10739274,9403290,7488402,7034560,8372046,8372046,6533696,7100100
17.0,11396880,8238750,10272588,9779854,10895640,9702915,6694136,7136896,8720734,8720734,7180160,7295463
