,A,AB,B,C,D,E,F,G,GH,H
5.0,196,1095,899,842,502,504,778,899,1095,196
10.0,196,1095,778,842,502,504,778,899,1095,196
18.0,196,1095,899,842,502,504,778,899,1095,196
