,A,B,C,D,E,F,G,H,HI,I,J
4.0,9364740,7050862,11631900,7338982,5823720,7612515,9975000,6133288,,8338320,4841026
8.0,9072500,7008000,11990980,7860940,5988360,6531852,10240300,6308190,,6633214,4930440
11.0,8996954,5803200,12259908,8040800,6124860,4163630,8167568,4667220,,6785270,5089358
