,1,2,3,5,6,C3,C5,C6
3.0,9198,9324,9467,9324,9198,9614,9384,9340
7.0,9416,9546,9709,9546,9416,9858,9607,9562
11.0,9635,7576,9980,9767,9635,10091,9831,9784
