,A,B,C,D,E,F,G,H,I,J,K,L,M,N
5.0,195,306,280,298,315,315,325,325,315,315,298,280,306,196
8.0,195,306,280,298,315,315,325,325,315,315,298,280,306,196
10.0,195,306,280,298,315,315,325,325,315,315,298,283,306,196
