,A,B,C,D,E,F,G,H,J,K,L,M
8.0,11878,11518,11525,12314,11094,11208,11947,10075,10247,12470,10859,11475
20.0,12174,11853,11562,12734,11138,11449,12194,12004,10914,13037,11510,11810
33.0,12935,12010,11867,13291,11990,12048,12703,12186,11448,14003,11823,12089
