,A,C,D,E,F,G,H,I,J,K,L
3.0,11552,11310,10581,11445,11518,11400,11471,11309,11531,11719,11679
6.0,11757,11511,10773,10620,11723,11603,11674,11511,11735,11377,11886
9.0,11961,11712,10966,11851,12963,11806,11878,11712,11939,11576,12092
