,A,B,C,D,E,F,G,H
7.0,15513,14848,14882,14600,14833,13401,14962,14877
16.0,15631,15639,15685,15416,15631,13856,15777,15677
24.0,16022,16109,16654,15837,16022,14562,16155,16005
