,A,B,C,D,E,F,G,H,J,K,L,M,N,O
3.0,11689,11997,11997,12004,11997,11283,11997,12051,11870,12045,11701,11877,11531,11531
6.0,12040,12289,12289,12352,12289,11844,12289,12345,12156,12336,12081,12164,11808,11568
9.0,12332,12581,12581,12645,12581,12136,12581,12734,12443,12628,12385,12451,12086,11839
