,A,B,C,D,E,F,G,H,J,K,L,M
7.0,4134700,3947543,3770064,4800960,4992768,3769200,5125892,4925553,3922128,4992768,4773888,3962495
19.0,4239382,4160525,3938976,4997952,5067648,3949776,5218993,5256741,4112208,5067648,4944384,4196929
31.0,4394254,4296059,4170096,5212224,4985856,4222800,5326919,5434494,4308768,4985856,4959360,4330491
