,A,B,C,D,E,F,G,H,J,K
5.0,7882480,7882480,7882480,7882480,5429307,6236340,7882480,7882480,6236340,5429307
12.0,8081392,8081392,8081392,8081392,5566365,5962396,8081392,8081392,6393640,5566365
18.0,8252480,8252480,8252480,8252480,5684028,6528676,8252480,8252480,6528676,5684028
