,A,B,C,D,E,F,G,H,J,K,L,M,N
16.0,19100,19109,19601,19602,18503,20689,20300,20876,20647,19533,19436,19906,18360
30.0,21284,20795,22030,21443,20228,22139,21273,22513,22219,20465,20304,21604,19787
46.0,22635,22833,24275,24326,22943,23809,24030,24245,23972,22326,22455,24812,22253
