,A,A1,A2,B,C1,C2
4.0,7650680,4768875,4024350,6515325,5042180,2959870
6.0,7745880,4832055,4074180,5333700,5108400,3021510
9.0,7885960,4927635,4153710,5430300,5209020,3051640
