,B,C,D,E,F,G,H,I,J,K
2.0,7407,7491,7359,7228,8168,8076,7584,8280,9507,7472
4.0,7482,7567,7434,7302,8250,8157,7654,8363,9452,7550
7.0,7586,7673,7538,7404,8367,8273,7760,9143,9573,7666
