,A,B,C,D,E,F,G,H,I,J,K
2.0,438,375,375,375,438,290,290,357,290,290,357
4.0,438,375,375,375,438,290,290,357,290,290,357
7.0,438,375,375,375,438,290,290,357,290,290,357
