,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
2.0/F低層A,2.0,低層,A,3128340,6134,510,150,1,NYL
3.0/F中層A,3.0,中層,A,3143640,6164,510,138,1,NYL
4.0/F高層A,4.0,高層,A,3158940,6194,510,136,1,NYL
2.0/F低層B,2.0,低層,B,3890000,6224,625,82,1,NYL
3.0/F中層B,3.0,中層,B,3909375,6255,625,81,1,NYL
4.0/F高層B,4.0,高層,B,3928750,6286,625,80,1,NYL
2.0/F低層C,2.0,低層,C,3722400,6204,600,84,1,NYL
3.0/F中層C,3.0,中層,C,3741000,6235,600,83,1,NYL
4.0/F高層C,4.0,高層,C,3759600,6266,600,82,1,NYL
2.0/F低層D,2.0,低層,D,3589620,6189,580,86,1,NYL
3.0/F中層D,3.0,中層,D,3607020,6219,580,85,1,NYL
4.0/F高層D,4.0,高層,D,3625000,6250,580,84,1,NYL
2.0/F低層E,2.0,低層,E,3589620,6189,580,86,1,NYL
3.0/F中層E,3.0,中層,E,3607020,6219,580,85,1,NYL
4.0/F高層E,4.0,高層,E,3625000,6250,580,84,1,NYL
2.0/F低層F,2.0,低層,F,3579180,6171,580,184,2,NYL
3.0/F中層F,3.0,中層,F,3597160,6202,580,185,2,NYL
4.0/F高層F,4.0,高層,F,3614560,6232,580,185,2,NYL
2.0/F低層G,2.0,低層,G,3589620,6189,580,86,1,NYL
3.0/F中層G,3.0,中層,G,3607020,6219,580,85,1,NYL
4.0/F高層G,4.0,高層,G,3625000,6250,580,84,1,NYL
2.0/F低層H,2.0,低層,H,3722400,6204,600,84,1,NYL
3.0/F中層H,3.0,中層,H,3741000,6235,600,83,1,NYL
4.0/F高層H,4.0,高層,H,3759600,6266,600,82,1,NYL
2.0/F低層I,2.0,低層,I,3890000,6224,625,82,1,NYL
3.0/F中層I,3.0,中層,I,3909375,6255,625,81,1,NYL
4.0/F高層I,4.0,高層,I,4293125,6869,625,230,2,NYL
2.0/F低層J,2.0,低層,J,3128340,6134,510,93,1,NYL
3.0/F中層J,3.0,中層,J,3143640,6164,510,92,1,NYL
4.0/F高層J,4.0,高層,J,3158940,6194,510,91,1,NYL
