,1,2,3,4,A1,A2,A3
5.0,8671850,14644380,14644380,8884150,8671850,10695260,14644380
14.0,9171800,15488160,15488160,9351650,9171800,11311900,15488160
22.0,9616200,16238460,16238460,9781750,9616200,11859660,16238460
