,A,B,C,D,E,F,H,J
7.0,13114,13693,13820,14025,13838,14828,14916,16970
18.0,14223,14672,15504,15392,15431,15077,16178,18375
27.0,15771,16063,16702,15722,16889,16485,16999,18483
