,A,B,C,D,E,F,G,H
3.0,5675484,7069305,5729790,5599014,5462776,5909248,7264086,5639598
7.0,5870016,7224265,5842560,5667240,5570048,6024663,7501406,5716704
10.0,5613564,7349425,5853837,5699610,5600914,6039864,7680792,5800869
