,A,AB,B,C,D,E,F,FG,G
8.0,11613550,22553076,9509262,9010311,7202058,8180032,9956758,22644544,11146900
18.0,12141400,23734116,9952386,9621168,7598820,8564896,10464434,23829284,11701950
27.0,12671800,24795456,10356718,9887439,7864752,8887744,10924046,24895550,12089550
