,A1,A2,A3,A4,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7
5.0,10335,10706,10706,10727,11047,13079,10561,10791,10706,10854,10590,10829,10877,10357
8.0,10458,10157,10828,10846,11338,13192,10689,10913,10828,10824,10712,10954,11076,10607
10.0,10536,10906,10906,10925,11425,13269,10769,10845,11094,11056,10867,11035,11098,10687
