,A,B,C,D,E,F,G,H
7.0,5319735,5539800,5349000,5311797,5319735,5568270,5288761,5332420
14.0,5525645,5727900,5553600,5540100,5525645,5786118,5656536,5539805
20.0,5705300,5791800,5811000,5695334,5705300,5977361,5841206,5642760
