,1,10,11,2,3,4,5,6,6A,6B,7,8,9,9B
3.0,8416,8438,8484,8457,6528,8411,8284,7316,7287,7429,8308,8520,8272,8277
6.0,8383,8601,8642,8612,6656,8559,8431,7465,7427,7572,8461,9328,8424,8445
10.0,8726,8718,8847,8825,5571,8769,8640,7655,7614,7763,7757,9548,7767,8669
