,A,B,C,D,E,E1,F,G,H,I,J,K,L,M,N,O
4.0,605,475,610,610,610,,610,475,481,385,345,368,442,290,365,400
10.0,605,475,610,610,610,,610,475,481,385,265,299,442,290,367,376
16.0,605,475,610,610,610,,467,470,481,385,274,299,362,290,417,388
