,A,B,C,D,E,F,G,H,J
7.0,13407,14872,14242,16266,13630,14708,13535,13520,13547
12.0,13799,15194,14659,16548,14033,15135,13953,13914,13942
16.0,14121,15548,14996,16904,14378,15480,14282,14237,14265
