,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層A,7.0,低層,A,6347000,11540,550,347,4,KKT
14.0/F中層A,14.0,中層,A,6642350,12077,550,350,4,KKT
20.0/F高層A,20.0,高層,A,6949800,12636,550,327,3,KKT
7.0/F低層B,7.0,低層,B,6358000,11560,550,365,3,KKT
14.0/F中層B,14.0,中層,B,6650600,12092,550,337,3,KKT
20.0/F高層B,20.0,高層,B,6849150,12453,550,325,3,KKT
7.0/F低層C,7.0,低層,C,6173820,11433,540,355,3,KKT
14.0/F中層C,14.0,中層,C,6416280,11882,540,351,3,KKT
20.0/F高層C,20.0,高層,C,6623100,12265,540,336,3,KKT
7.0/F低層D,7.0,低層,D,6347700,11755,540,372,4,KKT
14.0/F中層D,14.0,中層,D,6515100,12065,540,356,4,KKT
20.0/F高層D,20.0,高層,D,6815880,12622,540,341,4,KKT
7.0/F低層E,7.0,低層,E,6347000,11540,550,347,4,KKT
14.0/F中層E,14.0,中層,E,6575250,11955,550,341,4,KKT
20.0/F高層E,20.0,高層,E,6773250,12315,550,329,4,KKT
7.0/F低層F,7.0,低層,F,6354700,11554,550,389,4,KKT
14.0/F中層F,14.0,中層,F,6585150,11973,550,387,4,KKT
20.0/F高層F,20.0,高層,F,6785900,12338,550,381,4,KKT
7.0/F低層G,7.0,低層,G,6099652,11444,533,352,4,KKT
14.0/F中層G,14.0,中層,G,6258486,11742,533,357,4,KKT
20.0/F高層G,20.0,高層,G,6550037,12289,533,355,4,KKT
7.0/F低層H,7.0,低層,H,6261684,11748,533,373,4,KKT
14.0/F中層H,14.0,中層,H,6433310,12070,533,363,4,KKT
20.0/F高層H,20.0,高層,H,6729125,12625,533,348,4,KKT
