,A,B,C,D,E,F,G,H
9.0,13297,11845,15476,15757,13331,13694,13119,13181
25.0,13653,13061,16858,16396,13469,13822,13602,13601
40.0,14118,13212,17654,13495,13956,14382,13882,14208
