,A,B,C,D,E,F,H,J
10.0,11587,11583,11145,11429,11429,11338,11619,11559
20.0,12133,12129,11554,11851,11851,12119,12167,12105
30.0,12578,12573,11976,12285,12285,12563,12613,12549
