,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T,U
8.0,321,201,198,162,447,331,224,224,224,224,343,187,447,223,216,336,348,223,232
16.0,321,201,198,162,447,331,224,224,224,224,343,187,447,223,216,336,348,223,232
22.0,321,201,198,162,447,331,224,224,224,224,343,187,447,223,216,336,348,223,232
