,A,B,C,D,E,F,G,H,I,IJ,J,K,L,M,N,O,P
6.0,4935600,5646420,5357962,5639960,4812428,5646420,5168274,5286150,4846380,9995700,4683840,4881280,5043750,5394375,5537558,4265920,4655310
10.0,5084800,5495160,5515794,5551994,5033248,5780940,5317418,5444250,4994220,8776950,4825920,5033280,5202375,4851750,4825920,4644480,4953300
15.0,5522000,5708740,5713446,5758334,5216058,6005520,5806400,5661850,5188260,9120150,5078720,5138240,5408250,5765625,5890043,4640960,5137110
